pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Espana,financiacion_pyme,Ratio de NPL | Total,9.1100,pct_cartera,2016,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Espana,financiacion_pyme,Ratio de NPL | Total,7.7900,pct_cartera,2017,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Espana,financiacion_pyme,Ratio de NPL | Total,4.7900,pct_cartera,2019,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Espana,financiacion_pyme,Ratio de NPL | Total,4.5100,pct_cartera,2020,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Espana,financiacion_pyme,Ratio de NPL | Total,4.2900,pct_cartera,2021,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Espana,financiacion_pyme,Ratio de NPL | Total,3.5400,pct_cartera,2022,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Irlanda,financiacion_pyme,Ratio de NPL | PYME,41.0000,pct_cartera,2012,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Irlanda,financiacion_pyme,Ratio de NPL | PYME,41.0000,pct_cartera,2013,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Irlanda,financiacion_pyme,Ratio de NPL | PYME,27.0000,pct_cartera,2014,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Irlanda,financiacion_pyme,Ratio de NPL | PYME,26.0000,pct_cartera,2015,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Irlanda,financiacion_pyme,Ratio de NPL | PYME,18.7000,pct_cartera,2016,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Irlanda,financiacion_pyme,Ratio de NPL | PYME,22.6000,pct_cartera,2017,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Irlanda,financiacion_pyme,Ratio de NPL | PYME,11.1000,pct_cartera,2018,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Irlanda,financiacion_pyme,Ratio de NPL | PYME,6.8000,pct_cartera,2019,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Irlanda,financiacion_pyme,Ratio de NPL | PYME,8.0000,pct_cartera,2020,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Irlanda,financiacion_pyme,Ratio de NPL | PYME,9.8000,pct_cartera,2021,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Irlanda,financiacion_pyme,Ratio de NPL | PYME,8.1000,pct_cartera,2022,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Italia,financiacion_pyme,Ratio de NPL | PYME,12.0000,pct_cartera,2008,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Italia,financiacion_pyme,Ratio de NPL | PYME,14.5000,pct_cartera,2009,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Italia,financiacion_pyme,Ratio de NPL | PYME,16.8000,pct_cartera,2010,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Italia,financiacion_pyme,Ratio de NPL | PYME,18.4000,pct_cartera,2011,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Italia,financiacion_pyme,Ratio de NPL | PYME,21.5000,pct_cartera,2012,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Italia,financiacion_pyme,Ratio de NPL | PYME,24.6000,pct_cartera,2013,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Italia,financiacion_pyme,Ratio de NPL | PYME,28.0000,pct_cartera,2014,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Italia,financiacion_pyme,Ratio de NPL | PYME,30.0000,pct_cartera,2015,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Italia,financiacion_pyme,Ratio de NPL | PYME,31.4000,pct_cartera,2016,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Italia,financiacion_pyme,Ratio de NPL | PYME,29.9000,pct_cartera,2017,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Italia,financiacion_pyme,Ratio de NPL | PYME,28.6000,pct_cartera,2018,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Italia,financiacion_pyme,Ratio de NPL | PYME,28.4000,pct_cartera,2019,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Italia,financiacion_pyme,Ratio de NPL | PYME,25.2000,pct_cartera,2020,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Italia,financiacion_pyme,Ratio de NPL | PYME,24.5000,pct_cartera,2021,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Italia,financiacion_pyme,Ratio de NPL | PYME,25.1000,pct_cartera,2022,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Paises Bajos,financiacion_pyme,Ratio de NPL | PYME,10.0000,pct_cartera,2013,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Paises Bajos,financiacion_pyme,Ratio de NPL | PYME,10.8000,pct_cartera,2014,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Paises Bajos,financiacion_pyme,Ratio de NPL | PYME,9.5000,pct_cartera,2015,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Paises Bajos,financiacion_pyme,Ratio de NPL | PYME,8.1000,pct_cartera,2016,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Paises Bajos,financiacion_pyme,Ratio de NPL | PYME,8.8000,pct_cartera,2017,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Paises Bajos,financiacion_pyme,Ratio de NPL | PYME,9.2000,pct_cartera,2018,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Paises Bajos,financiacion_pyme,Ratio de NPL | PYME,7.7000,pct_cartera,2019,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
Paises Bajos,financiacion_pyme,Ratio de NPL | PYME,7.2000,pct_cartera,2020,"OCDE, Financing SMEs and Entrepreneurs (Scoreboard)",https://data-explorer.oecd.org/,2026-09-16,,,tamano_empresa_empleados,ratio,dato_unico,"medida NPL; definicion nacional de PYME, no armonizada entre paises; unidad original PT_ENT"
